player_id,first_name,second_name,web_name,player_position,team_id,team_name,form,points_per_game,starts,minutes,goals_scored,assists,yellow_cards,red_cards,penalties_missed,own_goals,goals_conceded,saves,clean_sheets,penalties_saved,goals_per_90,assists_per_90,goals_conceded_per_90,saves_per_90,clean_sheets_per_90,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,ict_index,influence,creativity,threat,form_rank,form_rank_type,ict_index_rank,ict_index_rank_type,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,points_per_game_rank,points_per_game_rank_type,total_points
616,Ben,Nelson,Nelson,Defender,11,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441,158,515,183,513,183,493,181,455,165,519,181,0
635,Bilal,El Khannouss,El Khannouss,Midfielder,11,Leicester,0.8,1.2,3,275,0,0,0,0,0,0,8,0,0,0,0,0,2.62,0,0,0.08,0.36,0.44,7.39,0.03,0.12,0.15,2.42,10.7,19.8,76.8,12,246,126,321,159,377,178,188,117,314,172,349,171,10
310,Alisson,Ramses Becker,A.Becker,Goalkeeper,12,Liverpool,0,5.8,6,528,0,0,0,0,0,0,2,15,4,0,0,0,0.34,2.56,0.68,0,0,0,3.74,0,0,0,0.64,12.6,126.8,0,0,664,72,307,23,206,23,676,71,671,70,11,1,35
311,Trent,Alexander-Arnold,Alexander-Arnold,Defender,12,Liverpool,2.2,4.6,12,938,0,1,2,0,0,0,6,0,6,0,0,0.095948827,0.58,0,0.58,0.45,3.03,3.48,7.59,0.04,0.29,0.33,0.73,59,204.6,328.3,58,107,30,68,11,111,41,18,3,198,49,30,3,55
312,Stefan,Bajčetić Maquieira,Bajcetic,Midfielder,12,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,586,241,622,271,620,269,617,273,597,264,626,273,0
313,Conor,Bradley,Bradley,Defender,12,Liverpool,1.5,1.6,1,231,0,0,1,0,0,0,3,0,1,0,0,0,1.17,0,0.39,0.41,0.19,0.6,3.38,0.16,0.07,0.23,1.32,12.4,34,14.7,76,154,48,308,101,345,122,333,108,163,31,292,98,11
315,Bobby,Clark,Clark,Midfielder,12,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,565,222,605,255,603,253,600,257,580,248,609,257,0
316,Darwin,Núñez Ribeiro,Darwin,Forward,12,Liverpool,2.5,2.6,5,529,2,1,2,0,0,0,7,0,2,0,0.34026465,0.170132325,1.19,0,0.34,1.68,0.21,1.89,7.13,0.29,0.04,0.33,1.21,36.8,130,70.6,166,88,14,149,23,202,23,196,26,76,26,172,25,26
317,Diogo,Teixeira da Silva,Diogo J.,Midfielder,12,Liverpool,0,5,7,492,2,3,1,0,0,0,1,0,4,0,0.365853659,0.548780488,0.18,0,0.73,2.72,0.32,3.04,3.14,0.5,0.06,0.56,0.57,31.6,105,55.1,157,686,312,186,98,231,97,230,142,86,52,18,9,35
318,Ben,Doak,Doak,Midfielder,12,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,568,225,608,258,606,256,603,260,583,251,612,260,0
319,Harvey,Elliott,Elliott,Midfielder,12,Liverpool,0.2,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.05,0,0.22,0.22,0.56,0.6,2,2.3,2,362,179,445,215,448,217,397,210,390,212,422,207,2
320,Endo,Wataru,Endo,Midfielder,12,Liverpool,0.5,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.22,0,0.04,0.04,0.99,2.6,12.2,11.6,2,278,142,402,198,399,190,345,195,384,207,400,192,6
321,Cody,Gakpo,Gakpo,Forward,12,Liverpool,2.8,2.5,5,547,2,1,3,0,0,0,5,0,2,0,0.329067642,0.164533821,0.82,0,0.33,2.15,0.75,2.89,5.96,0.35,0.12,0.47,0.98,46.8,140.4,162.2,165,71,12,109,21,186,22,91,5,79,27,184,27,32
322,Joe,Gomez,Gomez,Defender,12,Liverpool,1.5,2.2,1,145,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.62,0.3,0,0.3,1.27,0.19,0,0.19,0.79,9.8,46,1.2,50,155,49,326,106,325,111,410,145,211,55,211,67,9
323,Ryan,Gravenberch,Gravenberch,Midfielder,12,Liverpool,2.5,2.6,13,1170,0,1,3,0,0,0,8,0,7,0,0,0.076923077,0.62,0,0.54,0.62,1.42,2.04,11.47,0.05,0.11,0.16,0.88,40.5,193.2,162.3,49,82,39,131,77,125,44,90,68,215,124,164,69,34
324,Curtis,Jones,Jones,Midfielder,12,Liverpool,1.5,3.1,5,474,1,2,0,0,0,0,5,0,2,0,0.189873418,0.379746835,0.95,0,0.38,1.39,0.14,1.53,5.89,0.26,0.03,0.29,1.12,34.8,134,82.3,131,163,78,163,90,196,77,182,114,97,61,107,49,31
325,Caoimhin,Kelleher,Kelleher,Goalkeeper,12,Liverpool,5,5,7,630,0,0,0,0,0,0,6,21,3,1,0,0,0.86,3,0.43,0,0,0,7.59,0,0,0,1.08,17.8,178,0,0,15,1,273,19,146,18,569,63,547,57,16,2,35
326,Ibrahima,Konaté,Konaté,Defender,12,Liverpool,1.5,3.8,11,974,1,1,4,0,0,0,8,0,5,0,0.092402464,0.092402464,0.74,0,0.46,0.88,0.15,1.03,9.92,0.08,0.01,0.09,0.92,34.2,228.8,46.9,65,162,50,168,44,84,28,253,72,186,42,59,10,46
327,Luis,Díaz,Luis Díaz,Midfielder,12,Liverpool,2.5,5.5,9,764,5,3,0,0,0,0,3,0,7,0,0.589005236,0.353403141,0.35,0,0.82,3.08,1.43,4.51,6.35,0.36,0.17,0.53,0.75,80.9,280.6,231.4,297,90,43,27,20,46,13,45,36,28,15,12,5,71
328,Mohamed,Salah,M.Salah,Midfielder,12,Liverpool,10,10.2,13,1137,11,7,1,0,0,0,8,0,7,0,0.870712401,0.55408971,0.63,0,0.55,9.58,2.68,12.26,11.27,0.76,0.21,0.97,0.89,160.4,593.2,311.3,701,1,1,1,1,1,1,22,18,2,1,1,1,133
329,Alexis,Mac Allister,Mac Allister,Midfielder,12,Liverpool,1.8,1.8,11,894,0,0,4,0,0,0,4,0,6,0,0,0,0.4,0,0.6,0.34,1.54,1.88,8.08,0.03,0.16,0.19,0.81,43.8,128.2,201,108,144,70,119,69,205,81,63,52,121,77,270,125,24
330,James,McConnell,McConnell,Midfielder,12,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,517,191,562,226,560,224,554,228,529,218,567,229,0
